win,lose,probability,average,accuracy,accuracy with average,result_guess
Charlotte Hornets,Indiana Pacers,0.8445,0.6947,0.6244,0.6595,1
Minnesota Timberwolves,Orlando Magic,0.7873,0.6947,0.6244,0.6595,1
Washington Wizards,Oklahoma City Thunder,0.7815,0.6947,0.6244,0.6595,1
Boston Celtics,Atlanta Hawks,0.5541,0.6947,0.6244,0.6595,0
Miami Heat,Toronto Raptors,0.5106,0.6947,0.6244,0.6595,0
Milwaukee Bucks,Cleveland Cavaliers,0.6536,0.6947,0.6244,0.6595,0
Chicago Bulls,New Orleans Pelicans,0.6226,0.6947,0.6244,0.6595,0
Dallas Mavericks,Houston Rockets,0.9383,0.6947,0.6244,0.6595,1
Denver Nuggets,New York Knicks,0.665,0.6947,0.6244,0.6595,1
Phoenix Suns,Golden State Warriors,0.558,0.6947,0.6244,0.6595,0
Brooklyn Nets,Portland Trail Blazers,0.5892,0.6947,0.6244,0.6595,0
San Antonio Spurs,Sacramento Kings,0.5137,0.6947,0.6244,0.6595,0
Los Angeles Clippers,Detroit Pistons,0.8493,0.6947,0.6244,0.6595,1
Miami Heat,Washington Wizards,0.6808,0.6947,0.6244,0.6595,1
Cleveland Cavaliers,Charlotte Hornets,0.6237,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Milwaukee Bucks,0.61,0.6947,0.6244,0.6595,0
Chicago Bulls,Orlando Magic,0.8835,0.6947,0.6244,0.6595,1
Indiana Pacers,Houston Rockets,0.5596,0.6947,0.6244,0.6595,0
Memphis Grizzlies,Oklahoma City Thunder,0.8999,0.6947,0.6244,0.6595,1
Dallas Mavericks,Denver Nuggets,0.7023,0.6947,0.6244,0.6595,1
Boston Celtics,New Orleans Pelicans,0.6992,0.6947,0.6244,0.6595,1
Utah Jazz,Phoenix Suns,0.5258,0.6947,0.6244,0.6595,0
Golden State Warriors,New York Knicks,0.7967,0.6947,0.6244,0.6595,1
Los Angeles Lakers,Detroit Pistons,0.793,0.6947,0.6244,0.6595,1
Atlanta Hawks,Toronto Raptors,0.5451,0.6947,0.6244,0.6595,0
Indiana Pacers,Orlando Magic,0.6035,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Minnesota Timberwolves,0.7052,0.6947,0.6244,0.6595,1
Utah Jazz,Portland Trail Blazers,0.6866,0.6947,0.6244,0.6595,1
Los Angeles Clippers,San Antonio Spurs,0.7301,0.6947,0.6244,0.6595,1
Phoenix Suns,New York Knicks,0.7683,0.6947,0.6244,0.6595,1
Sacramento Kings,Detroit Pistons,0.6635,0.6947,0.6244,0.6595,1
Charlotte Hornets,Washington Wizards,0.532,0.6947,0.6244,0.6595,0
Memphis Grizzlies,Brooklyn Nets,0.5474,0.6947,0.6244,0.6595,0
Miami Heat,Cleveland Cavaliers,0.5309,0.6947,0.6244,0.6595,0
Golden State Warriors,Houston Rockets,0.9101,0.6947,0.6244,0.6595,1
Dallas Mavericks,Denver Nuggets,0.7023,0.6947,0.6244,0.6595,1
Los Angeles Lakers,San Antonio Spurs,0.6479,0.6947,0.6244,0.6595,0
Cleveland Cavaliers,Atlanta Hawks,0.6272,0.6947,0.6244,0.6595,0
Indiana Pacers,Orlando Magic,0.6035,0.6947,0.6244,0.6595,0
Boston Celtics,Chicago Bulls,0.5127,0.6947,0.6244,0.6595,0
Milwaukee Bucks,Portland Trail Blazers,0.8257,0.6947,0.6244,0.6595,1
Miami Heat,Minnesota Timberwolves,0.5659,0.6947,0.6244,0.6595,0
Golden State Warriors,New Orleans Pelicans,0.7335,0.6947,0.6244,0.6595,1
New York Knicks,Oklahoma City Thunder,0.7153,0.6947,0.6244,0.6595,1
Utah Jazz,Los Angeles Clippers,0.5119,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Brooklyn Nets,0.7314,0.6947,0.6244,0.6595,1
Memphis Grizzlies,Sacramento Kings,0.8673,0.6947,0.6244,0.6595,1
Denver Nuggets,Detroit Pistons,0.8727,0.6947,0.6244,0.6595,1
Phoenix Suns,Los Angeles Lakers,0.7964,0.6947,0.6244,0.6595,1
Philadelphia 76ers,Charlotte Hornets,0.5503,0.6947,0.6244,0.6595,0
Cleveland Cavaliers,Portland Trail Blazers,0.7779,0.6947,0.6244,0.6595,1
Minnesota Timberwolves,Indiana Pacers,0.751,0.6947,0.6244,0.6595,1
Atlanta Hawks,Sacramento Kings,0.8058,0.6947,0.6244,0.6595,1
Boston Celtics,Dallas Mavericks,0.5795,0.6947,0.6244,0.6595,0
Miami Heat,Washington Wizards,0.8085,0.6947,0.6244,0.6595,1
Toronto Raptors,Brooklyn Nets,0.6713,0.6947,0.6244,0.6595,1
Milwaukee Bucks,Chicago Bulls,0.6444,0.6947,0.6244,0.6595,0
Denver Nuggets,Oklahoma City Thunder,0.7779,0.6947,0.6244,0.6595,1
San Antonio Spurs,New Orleans Pelicans,0.5374,0.6947,0.6244,0.6595,0
Utah Jazz,Detroit Pistons,0.8934,0.6947,0.6244,0.6595,1
Golden State Warriors,Los Angeles Clippers,0.7705,0.6947,0.6244,0.6595,1
Charlotte Hornets,Minnesota Timberwolves,0.584,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Orlando Magic,0.8641,0.6947,0.6244,0.6595,1
New York Knicks,Portland Trail Blazers,0.6885,0.6947,0.6244,0.6595,1
Boston Celtics,Sacramento Kings,0.8809,0.6947,0.6244,0.6595,1
Atlanta Hawks,Houston Rockets,0.8285,0.6947,0.6244,0.6595,1
Brooklyn Nets,Indiana Pacers,0.726,0.6947,0.6244,0.6595,1
Memphis Grizzlies,New Orleans Pelicans,0.8003,0.6947,0.6244,0.6595,1
Miami Heat,Washington Wizards,0.8085,0.6947,0.6244,0.6595,1
Milwaukee Bucks,Cleveland Cavaliers,0.6536,0.6947,0.6244,0.6595,0
Chicago Bulls,Oklahoma City Thunder,0.7982,0.6947,0.6244,0.6595,1
Los Angeles Lakers,San Antonio Spurs,0.5099,0.6947,0.6244,0.6595,0
Phoenix Suns,Detroit Pistons,0.9197,0.6947,0.6244,0.6595,1
Golden State Warriors,Utah Jazz,0.6959,0.6947,0.6244,0.6595,1
Los Angeles Clippers,Denver Nuggets,0.5393,0.6947,0.6244,0.6595,0
Dallas Mavericks,Toronto Raptors,0.5021,0.6947,0.6244,0.6595,0
Oklahoma City Thunder,Houston Rockets,0.5467,0.6947,0.6244,0.6595,0
Los Angeles Lakers,San Antonio Spurs,0.5099,0.6947,0.6244,0.6595,0
Phoenix Suns,Utah Jazz,0.6596,0.6947,0.6244,0.6595,1
Brooklyn Nets,Portland Trail Blazers,0.7198,0.6947,0.6244,0.6595,1
Golden State Warriors,Minnesota Timberwolves,0.5892,0.6947,0.6244,0.6595,0
Los Angeles Clippers,Indiana Pacers,0.8319,0.6947,0.6244,0.6595,1
Miami Heat,Atlanta Hawks,0.5722,0.6947,0.6244,0.6595,0
Boston Celtics,Washington Wizards,0.797,0.6947,0.6244,0.6595,1
Cleveland Cavaliers,Detroit Pistons,0.8103,0.6947,0.6244,0.6595,1
Memphis Grizzlies,New York Knicks,0.5844,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Orlando Magic,0.8641,0.6947,0.6244,0.6595,1
Milwaukee Bucks,Dallas Mavericks,0.5529,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Atlanta Hawks,0.7088,0.6947,0.6244,0.6595,1
Minnesota Timberwolves,Washington Wizards,0.5326,0.6947,0.6244,0.6595,0
Boston Celtics,Charlotte Hornets,0.7143,0.6947,0.6244,0.6595,1
Brooklyn Nets,Orlando Magic,0.8477,0.6947,0.6244,0.6595,1
Toronto Raptors,Cleveland Cavaliers,0.6021,0.6947,0.6244,0.6595,0
New Orleans Pelicans,Oklahoma City Thunder,0.7531,0.6947,0.6244,0.6595,1
Denver Nuggets,Houston Rockets,0.9017,0.6947,0.6244,0.6595,1
Utah Jazz,Chicago Bulls,0.6065,0.6947,0.6244,0.6595,0
Phoenix Suns,Sacramento Kings,0.7931,0.6947,0.6244,0.6595,1
Los Angeles Lakers,Indiana Pacers,0.7709,0.6947,0.6244,0.6595,1
New York Knicks,Detroit Pistons,0.7386,0.6947,0.6244,0.6595,1
Dallas Mavericks,Golden State Warriors,0.556,0.6947,0.6244,0.6595,0
Los Angeles Clippers,Portland Trail Blazers,0.599,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Cleveland Cavaliers,0.5095,0.6947,0.6244,0.6595,0
Atlanta Hawks,Orlando Magic,0.7844,0.6947,0.6244,0.6595,1
Boston Celtics,Miami Heat,0.5712,0.6947,0.6244,0.6595,0
Brooklyn Nets,Washington Wizards,0.6563,0.6947,0.6244,0.6595,0
Milwaukee Bucks,New York Knicks,0.5944,0.6947,0.6244,0.6595,0
Memphis Grizzlies,Minnesota Timberwolves,0.5055,0.6947,0.6244,0.6595,0
Toronto Raptors,New Orleans Pelicans,0.6095,0.6947,0.6244,0.6595,0
San Antonio Spurs,Oklahoma City Thunder,0.6024,0.6947,0.6244,0.6595,0
Denver Nuggets,Houston Rockets,0.9017,0.6947,0.6244,0.6595,1
Phoenix Suns,Chicago Bulls,0.6781,0.6947,0.6244,0.6595,1
Utah Jazz,Los Angeles Clippers,0.6753,0.6947,0.6244,0.6595,1
Sacramento Kings,Indiana Pacers,0.634,0.6947,0.6244,0.6595,0
Los Angeles Lakers,Portland Trail Blazers,0.6481,0.6947,0.6244,0.6595,0
Dallas Mavericks,Detroit Pistons,0.867,0.6947,0.6244,0.6595,1
Charlotte Hornets,Washington Wizards,0.6885,0.6947,0.6244,0.6595,1
Atlanta Hawks,Denver Nuggets,0.5614,0.6947,0.6244,0.6595,0
Boston Celtics,Miami Heat,0.5712,0.6947,0.6244,0.6595,0
