Wteam,Lteam,Wloc
Phoenix Suns,Charlotte Hornets,V
Dallas Mavericks,Oklahoma City Thunder,V
Los Angeles Lakers,Minnesota Timberwolves,H
Philadelphia 76ers,Houston Rockets,H
Washington Wizards,Charlotte Hornets,H
Memphis Grizzlies,Brooklyn Nets,V
Chicago Bulls,Orlando Magic,H
Detroit Pistons,Milwaukee Bucks,V
Utah Jazz,New Orleans Pelicans,V
Dallas Mavericks,Denver Nuggets,H
Golden State Warriors,Miami Heat,H
Portland Trail Blazers,Atlanta Hawks,H
Minnesota Timberwolves,Los Angeles Clippers,V
Memphis Grizzlies,Cleveland Cavaliers,V
Toronto Raptors,San Antonio Spurs,H
New York Knicks,Indiana Pacers,H
Phoenix Suns,New Orleans Pelicans,V
Los Angeles Lakers,Sacramento Kings,H
Charlotte Hornets,Detroit Pistons,H
Philadelphia 76ers,Orlando Magic,V
Houston Rockets,Washington Wizards,V
San Antonio Spurs,Boston Celtics,V
Dallas Mavericks,Golden State Warriors,H
Brooklyn Nets,Indiana Pacers,V
Toronto Raptors,Milwaukee Bucks,V
Minnesota Timberwolves,Oklahoma City Thunder,H
Utah Jazz,Denver Nuggets,V
Miami Heat,Portland Trail Blazers,V
Atlanta Hawks,Sacramento Kings,V
New York Knicks,Boston Celtics,H
Memphis Grizzlies,Detroit Pistons,H
New Orleans Pelicans,Golden State Warriors,H
Phoenix Suns,Los Angeles Clippers,H
Philadelphia 76ers,San Antonio Spurs,H
Milwaukee Bucks,Brooklyn Nets,V
Toronto Raptors,Utah Jazz,H
Chicago Bulls,Washington Wizards,H
Dallas Mavericks,Houston Rockets,V
Minnesota Timberwolves,Oklahoma City Thunder,V
Denver Nuggets,Sacramento Kings,H
Los Angeles Lakers,Atlanta Hawks,H
Cleveland Cavaliers,Portland Trail Blazers,V
Memphis Grizzlies,Los Angeles Clippers,V
Charlotte Hornets,Milwaukee Bucks,H
Detroit Pistons,Orlando Magic,H
Indiana Pacers,Utah Jazz,H
Boston Celtics,New York Knicks,H
Miami Heat,Phoenix Suns,V
Brooklyn Nets,San Antonio Spurs,H
Los Angeles Clippers,Atlanta Hawks,H
Washington Wizards,Orlando Magic,V
Toronto Raptors,New Orleans Pelicans,H
Minnesota Timberwolves,Houston Rockets,V
Denver Nuggets,Oklahoma City Thunder,V
Dallas Mavericks,Chicago Bulls,H
Golden State Warriors,Cleveland Cavaliers,H
Portland Trail Blazers,Sacramento Kings,H
