Visitor/Neutral,PTS,Home/Neutral,PTS,Result (so far)
Indiana Pacers,116,Los Angeles Lakers,115,Indiana Pacers
New York Knicks,140,Detroit Pistons,110,New York Knicks
Golden State Warriors,113,Dallas Mavericks,116,Dallas Mavericks
Los Angeles Clippers,118,Portland Trail Blazers,112,Los Angeles Clippers
Philadelphia 76ers,85,Cleveland Cavaliers,113,Cleveland Cavaliers
Atlanta Hawks,125,Orlando Magic,108,Atlanta Hawks
Miami Heat,121,Boston Celtics,134,Boston Celtics
Washington Wizards,107,Brooklyn Nets,113,Brooklyn Nets
Milwaukee Bucks,109,New York Knicks,103,Milwaukee Bucks
Memphis Grizzlies,101,Minnesota Timberwolves,109,Minnesota Timberwolves
Toronto Raptors,108,New Orleans Pelicans,126,New Orleans Pelicans
San Antonio Spurs,111,Oklahoma City Thunder,119,Oklahoma City Thunder
Houston Rockets,100,Denver Nuggets,120,Denver Nuggets
Chicago Bulls,113,Phoenix Suns,132,Phoenix Suns
Los Angeles Clippers,112,Utah Jazz,125,Utah Jazz
Indiana Pacers,114,Sacramento Kings,137,Sacramento Kings
Portland Trail Blazers,109,Los Angeles Lakers,128,Los Angeles Lakers
Dallas Mavericks,125,Detroit Pistons,131,Detroit Pistons
Washington Wizards,116,Charlotte Hornets,117,Charlotte Hornets
Denver Nuggets,109,Atlanta Hawks,117,Atlanta Hawks
Miami Heat,120,Boston Celtics,116,Miami Heat
Toronto Raptors,105,Brooklyn Nets,114,Brooklyn Nets
Orlando Magic,96,Cleveland Cavaliers,107,Cleveland Cavaliers
Los Angeles Lakers,133,Milwaukee Bucks,129,Los Angeles Lakers
Philadelphia 76ers,109,Memphis Grizzlies,117,Memphis Grizzlies
New Orleans Pelicans,117,San Antonio Spurs,99,New Orleans Pelicans
Houston Rockets,122,Phoenix Suns,121,Houston Rockets
Indiana Pacers,119,Utah Jazz,139,Utah Jazz
Chicago Bulls,111,Golden State Warriors,119,Golden State Warriors
Dallas Mavericks,121,New York Knicks,100,Dallas Mavericks
Sacramento Kings,123,Los Angeles Clippers,96,Sacramento Kings
Milwaukee Bucks,105,Charlotte Hornets,96,Milwaukee Bucks
Oklahoma City Thunder,135,Minnesota Timberwolves,128,Oklahoma City Thunder
Orlando Magic,108,Toronto Raptors,121,Toronto Raptors
Houston Rockets,101,Golden State Warriors,120,Golden State Warriors
Portland Trail Blazers,116,Utah Jazz,111,Portland Trail Blazers
Denver Nuggets,106,New Orleans Pelicans,121,New Orleans Pelicans
Phoenix Suns,133,San Antonio Spurs,95,Phoenix Suns
Boston Celtics,103,Brooklyn Nets,92,Boston Celtics
Memphis Grizzlies,122,Detroit Pistons,112,Memphis Grizzlies
Cleveland Cavaliers,81,New York Knicks,92,New York Knicks
Chicago Bulls,101,Sacramento Kings,110,Sacramento Kings
Los Angeles Lakers,130,Washington Wizards,119,Los Angeles Lakers
Indiana Pacers,100,Portland Trail Blazers,116,Portland Trail Blazers
Los Angeles Clippers,119,Charlotte Hornets,117,Los Angeles Clippers
Milwaukee Bucks,109,Orlando Magic,102,Milwaukee Bucks
Oklahoma City Thunder,121,Atlanta Hawks,114,Oklahoma City Thunder
Boston Celtics,116,Toronto Raptors,110,Boston Celtics
Philadelphia 76ers,123,Houston Rockets,132,Houston Rockets
Miami Heat,93,Memphis Grizzlies,101,Memphis Grizzlies
Phoenix Suns,111,Dallas Mavericks,130,Dallas Mavericks
Indiana Pacers,112,Golden State Warriors,104,Indiana Pacers
Los Angeles Lakers,102,Cleveland Cavaliers,116,Cleveland Cavaliers
